Columna 1,Latitud,Longitud
Casalegno,-32.2636987,-61.1246101
Centeno,-32.2959681,-61.4080671
Coronda,-31.9744568,-60.915983
Desvío Arijón,-31.8343598,-60.8705127
Díaz,-32.3705573,-61.0866202
Gaboto,-32.4325766,-60.8177267
Gálvez,-32.0253403,-61.2196794
Gessler,-31.8741556,-61.1270638
Larrechea,-31.9343347,-61.0479966
Loma Alta,-31.9607452,-61.1773261
López,-31.9037969,-61.2770597
Maciel,-32.4568421,-60.8924252
Monje,-32.360312,-60.9430126
Pueblo Irigoyen,-32.1580479,-61.1102485
San Eugenio,-32.0762941,-61.1156953
San Fabián,-32.1382161,-60.9844823
San Genaro,-32.3715833,-61.3600947
Angeloni,-30.8556066,-60.6500607
Cayastacito,-31.1133892,-60.5809812
Colonia Dolores,-34.2730503,-62.7281266
Esther,-32.9393643,-60.6435657
Gobernador Crespo,-31.6404882,-60.7083909
La Camila,,
La Criolla,-32.9392296,-60.6725745
La Penca y Caraguatá,-30.3481641,-60.5206904
Marcelino Escalada,-30.581696,-60.4685447
Naré,-30.9496377,-60.467026
Pedro Gómez Cello,,
Ramayón,-30.6742315,-60.4986423
San Bernardo,-30.889253,-60.5740394
San Justo,-32.0001305,-60.9254825
San Martín Norte,-32.9748139,-60.6440892
Silva,-15.6486865,-56.0867438
Vera y Pintado,-32.9231469,-60.691351
Videla,-30.9749031,-60.70449
Aldao,-32.7046372,-60.8159601
Capitán Bermúdez,-32.8166653,-60.7166716
Carcarañá,-32.8563501,-61.148729
Coronel Arnold,-33.1059019,-60.9667135
Fray Luis Beltrán,-32.7874256,-60.7295083
Fuentes,-33.1729451,-61.0773558
Luis Palacios,-32.7797654,-60.907216
Puerto General San Martín,-32.7116197,-60.7341243
Pujato,-33.0176021,-61.0430978
Ricardone,-32.7706675,-60.7841945
Roldán,-32.9000832,-60.9066116
San Jerónimo Sud,-32.8788862,-61.0230257
San Lorenzo,-32.7454865,-60.743091
Timbúes,-32.6674546,-60.7957434
Villa Mugueta,-33.3119003,-61.0563641
Cañada Rosquín,-32.0531883,-61.5996697
Carlos Pellegrini,-32.0505335,-61.7830738
Casas,-32.1256628,-61.540151
Castelar,-31.6487111,-60.7065942
Colonia Belgrano,-31.9095226,-61.4008455
Crispi,-31.7398619,-62.037608
El Trébol,-32.1972868,-61.7099311
Landeta,-32.0106546,-62.0601572
Las Bandurrias,-32.198402,-61.4934289
Las Petacas,-31.8203215,-62.1085626
Los Cardos,-32.3223332,-61.6317174
María Susana,-32.2669443,-61.9060762
Piamonte,-32.1439613,-61.980515
San Jorge,-31.8962813,-61.8597235
San Martín de las Escobas,-31.857828,-61.5697407
Sastre,-31.7675113,-61.8288888
Traill,-31.9185372,-61.7018696
Calchaquí,-32.9700302,-60.6981674
Cañada Ombú,-28.3093111,-59.9810405
Fortín Olmos,-29.0546524,-60.4095154
Garabato,-28.9096287,-60.1895276
Golondrina,-28.5576008,-60.0211994
Intiyaco,-29.1471806,-59.6354608
La Gallareta,-29.1460999,-59.6355568
Los Amores,-28.1016023,-59.9804043
Margarita,-32.9124814,-60.8114526
Tartagal,-33.0403233,-60.6198128
Toba,-29.2676998,-60.1719476
Vera,-31.6474914,-60.6428557
